2026-04-27T14:42:17.602+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Starting MedicalAppointmentSystemApplication using Java 17.0.18 with PID 44272 (C:\Users\user\IdeaProjects\medical-appointment-system\target\classes started by user in C:\Users\user\IdeaProjects\medical-appointment-system)
2026-04-27T14:42:17.613+03:00 DEBUG 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Running with Spring Boot v3.2.0, Spring v6.1.1
2026-04-27T14:42:17.614+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : No active profile set, falling back to 1 default profile: "default"
2026-04-27T14:42:18.966+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-27T14:42:19.092+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2026-04-27T15:41:52.399+03:00  INFO 44272 --- [http-nio-8081-exec-3] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 2 мс
2026-04-27T15:41:52.420+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 18 мс
2026-04-27T15:41:59.968+03:00  INFO 44272 --- [http-nio-8081-exec-2] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.updateStatus(..)] выполнен за 14 мс
2026-04-27T15:42:11.178+03:00  INFO 44272 --- [http-nio-8081-exec-6] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T15:42:11.201+03:00  INFO 44272 --- [http-nio-8081-exec-5] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 5 мс
2026-04-27T15:42:27.985+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T15:42:27.994+03:00  INFO 44272 --- [http-nio-8081-exec-4] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 9 мс
2026-04-27T15:42:28.000+03:00  INFO 44272 --- [http-nio-8081-exec-10] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 6 мс
2026-04-27T15:42:28.013+03:00  INFO 44272 --- [http-nio-8081-exec-9] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 9 мс
2026-04-27T15:42:36.657+03:00  INFO 44272 --- [http-nio-8081-exec-5] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 8 мс
2026-04-27T15:42:36.663+03:00  INFO 44272 --- [http-nio-8081-exec-1] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 16 мс
2026-04-27T15:42:36.677+03:00  INFO 44272 --- [http-nio-8081-exec-6] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 30 мс
2026-04-27T15:42:36.677+03:00  INFO 44272 --- [http-nio-8081-exec-3] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 8 мс
